ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
Atria,Alp,TrA,Triangulum Australe,1.92,4.40112883502044,-1.2047595071856725,4.0481947e-08,2.3878981856702403e-10,-4.191763463227693e-10,6217,82273
Alhena,Gam,Gem,Gemini,1.93,1.7353446673554316,0.2862237698721863,1.446684e-07,1.833066922963092e-10,-7.295101961336099e-10,2421,31681
Peacock,Alp,Pav,Pavo,1.94,5.347896064840817,-0.9902104680685206,8.843002e-08,9.158697877223269e-11,-1.1417843353605008e-09,7790,100751
Alsephina,Del,Vel,Vela,1.96,2.289449995353474,-0.9548446415238737,1.9630107e-07,3.8479804559522106e-10,-1.3718136603058329e-09,3485,42913
Alphard,Alp,Hya,Hydra,1.98,2.4765677899120084,-0.15112252845819066,8.77028e-08,-2.0215502705813098e-10,4.562093420871938e-10,3748,46390
Mirzam,Bet,CMa,Canis Major,1.98,1.6698428406607957,-0.3133898685486971,3.2094665e-08,-4.28733248455524e-11,-1.0353310643817608e-11,2294,30324
Castor,Alp,Gem,Gemini,1.98,1.9835670383723523,0.5565616766365641,3.1086256e-07,-2.5412068240498474e-09,-1.927175862020357e-09,2891,36850
Hamal,Alp,Ari,Aries,2.0,0.5548900421669061,0.4095027185142451,2.4027366e-07,2.5027137460151412e-09,-1.9655362053032198e-09,617,9884
Blaze Star,,,,2.0,4.186620544454401,0.4523918044274389,4.557249e-09,-7.924264685075784e-11,1.30212791558783e-10,5958,78322
Nunki,Sig,Sgr,Sagittarius,2.02,4.953529243723726,-0.45896215172350885,6.942532e-08,2.0096041429153664e-10,-7.092017791015061e-10,7121,92855
Polaris,Alp,UMi,Ursa Minor,2.02,0.6622851337825987,1.5579531082148617,3.655495e-08,5.904041762012912e-10,-1.5729068093492134e-10,424,11767
Diphda,Bet,Cet,Cetus,2.04,0.19018476688168526,-0.31392685853751423,1.6415792e-07,3.086746654127929e-09,4.2461847114836573e-10,188,3419
Alnitak,Zet,Ori,Orion,2.05,1.486840521133824,-0.03390439115251852,2.1477247e-08,4.234238583817714e-11,2.694515462429454e-11,1948,26727
